Vehicle_Name,Year,Vehicle_Age,Model_Series,Trim_Level,Body_Type,Is_AMG,Is_4MATIC,Mileage_Miles,Mileage_Category,Price_USD,Price_Category,Price_Per_Mile
2018 Mercedes-Benz E-Class E 400 4MATIC,2018,8,E-Class,E 400,Sedan,0,1,45854,Medium (20K-50K),31881,Mid-Range ($20K-$40K),0.6952719501024992
2018 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,2018,8,AMG GLE 43,E 43,SUV,1,1,88960,High (50K-100K),30498,Mid-Range ($20K-$40K),0.34282823741007196
2018 Mercedes-Benz GLS 550 Base 4MATIC,2018,8,GLS,S 550,SUV,0,1,75441,High (50K-100K),29881,Mid-Range ($20K-$40K),0.39608435731233677
2018 Mercedes-Benz E-Class 4MATIC,2018,8,E-Class,Standard,Sedan,0,1,83451,High (50K-100K),17999,Budget (< $20K),0.21568345496159422
2018 Mercedes-Benz E-Class 4MATIC,2018,8,E-Class,Standard,Sedan,0,1,101685,Very High (> 100K),16823,Budget (< $20K),0.16544229729065252
2018 Mercedes-Benz C-Class C 300 4MATIC,2018,8,C-Class,C 300,Sedan,0,1,63640,High (50K-100K),16597,Budget (< $20K),0.2607950974230044
2017 Mercedes-Benz Sprinter 2500 Standard Roof,2017,9,Sprinter,Standard,Van/Commercial,0,0,79899,High (50K-100K),23950,Mid-Range ($20K-$40K),0.29975343871637944
2017 Mercedes-Benz GLE 550e,2017,9,GLE,E 550,SUV,0,0,36235,Medium (20K-50K),22998,Mid-Range ($20K-$40K),0.6346902166413688
2017 Mercedes-Benz AMG GLC 43 4MATIC,2017,9,AMG GLC 43,C 43,SUV,1,1,62485,High (50K-100K),22988,Mid-Range ($20K-$40K),0.3678962951108266
2017 Mercedes-Benz E-Class E 300 Sport RWD Sedan,2017,9,E-Class,E 300,Sedan,0,0,67400,High (50K-100K),17599,Budget (< $20K),0.2611127596439169
2017 Mercedes-Benz GLE 350 4MATIC,2017,9,GLE,E 350,SUV,0,1,94352,High (50K-100K),16364,Budget (< $20K),0.17343564524334407
2017 Mercedes-Benz GLS 450 4MATIC,2017,9,GLS,S 450,SUV,0,1,100203,Very High (> 100K),15400,Budget (< $20K),0.15368801333293414
2016 Mercedes-Benz GL-Class,2016,10,GL-Class,Standard,SUV,0,0,47269,Medium (20K-50K),24998,Mid-Range ($20K-$40K),0.5288455435909369
2015 Mercedes-Benz E-Class E 350 4MATIC,2015,11,E-Class,E 350,Sedan,0,1,88167,High (50K-100K),17900,Budget (< $20K),0.20302380709335693
2015 Mercedes-Benz E-Class E 350,2015,11,E-Class,E 350,Sedan,0,0,62654,High (50K-100K),16981,Budget (< $20K),0.2710281865483449
2015 Mercedes-Benz GLA-Class GLA 250,2015,11,GLA-Class,GLA 250,SUV,0,0,82288,High (50K-100K),15998,Budget (< $20K),0.19441473847948668
2015 Mercedes-Benz M-Class 4MATIC,2015,11,M-Class,Standard,SUV,0,1,85523,High (50K-100K),13500,Budget (< $20K),0.15785227365737872
2014 Mercedes-Benz S-Class S 550,2014,12,S-Class,S 550,Sedan,0,0,95218,High (50K-100K),20995,Mid-Range ($20K-$40K),0.22049402423911446
2014 Mercedes-Benz E-Class E 350 4MATIC Sedan 4D,2014,12,E-Class,E 350,Sedan,0,1,95536,High (50K-100K),11850,Budget (< $20K),0.12403701222575783
2014 Mercedes-Benz GLK-Class GLK 350 4MATIC,2014,12,GLK-Class,GLK 350,Other,0,1,93434,High (50K-100K),10996,Budget (< $20K),0.11768735149945415
2014 Mercedes-Benz M-Class 4MATIC,2014,12,M-Class,Standard,SUV,0,1,94061,High (50K-100K),10994,Budget (< $20K),0.11688159811186358
2014 Mercedes-Benz E-Class E 250 BlueTEC 4MATIC,2014,12,E-Class,E 250,Sedan,0,1,186500,Very High (> 100K),9650,Budget (< $20K),0.051742627345844505
2013 Mercedes-Benz GLK-Class GLK 350 4MATIC,2013,13,GLK-Class,GLK 350,Other,0,1,131643,Very High (> 100K),11980,Budget (< $20K),0.0910036993991325
2012 Mercedes-Benz M-Class ML 350 4MATIC,2012,14,M-Class,Standard,SUV,0,1,118174,Very High (> 100K),11498,Budget (< $20K),0.09729720581515393
2008 Mercedes-Benz E-Class E 350 Sedan 4D,2008,18,E-Class,E 350,Sedan,0,0,91577,High (50K-100K),7490,Budget (< $20K),0.08178909551524946
2005 Mercedes-Benz CLK-Class 320 Cabriolet,2005,21,CLK-Class,Standard,Coupe,0,0,93350,High (50K-100K),6420,Budget (< $20K),0.06877343331547937
